LP|Substancja czynna|Nazwa  postać i dawka|Zawartość opakowania|Numer GTIN lub inny kod jednoznacznie identyfikujący produkt|Termin wejścia w życie decyzji|Okres obowiązywania decyzji|Grupa limitowa|Urzędowa cena zbytu|Cena hurtowa brutto|Cena detaliczna|Wysokość limitu finansowania|Zakres wskazań objętych refundacją|Zakres wskazań pozarejestracyjnych objętych refundacją|Poziom odpłatności|Wysokość dopłaty świadczeniobiorcy
73|Acitretinum|Neotigason, kaps., 25 mg|100 szt.|05909990696925|2022-01-01|3 lata|53.0, Leki przeciwłuszczycowe do stosowania ogólnego - retynoidy - acytretyna|345,60|362,88|384,45|384,45|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|7,62
74|Adrenalinum|Adrenalina WZF, roztwór do wstrzykiwań, 300 μg/0,3 ml|1 amp.-strz.po 1 ml|05909991069711|2019-07-01|3 lata|32.1, Leki stosowane doraźnie w nagłych przypadkach anafilaksji - leki adrenergiczne i dopaminergiczne - epinefryna - do podawania pozajelitowego|44,28|46,49|55,64|55,64|Leczenie doraźne w nagłych przypadkach ostrych reakcji alergicznych (anafilaksji), wywołanych przez pokarmy, leki, ukąszenia i użądlenia owadów oraz inne alergeny, jak również w przypadku anafilaksji samoistnej||50%|27,82
75|Agomelatinum|Agolek, tabl. powl., 25 mg|28 szt.|05909991388768|2021-07-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|50,65|53,18|62,87|61,55|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|19,79
76|Agomelatinum|Agomelatine +pharma, tabl. powl., 25 mg|30 szt.|05901720140494|2021-07-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|52,38|55,00|65,06|65,06|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|19,52
77|Agomelatinum|Agomelatine +pharma, tabl. powl., 25 mg|90 szt.|05901720140418|2020-09-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|157,68|165,56|182,23|182,23|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|54,67
78|Agomelatinum|Agomelatine Adamed, tabl. powl., 25 mg|28 szt.|05909991387266|2021-07-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|51,30|53,87|63,56|61,55|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|20,48
79|Agomelatinum|Agomelatine G.L. Pharma, tabl. powl., 25 mg|28 szt.|09008732009293|2020-03-01|2 lata|225.1, Leki przeciwdepresyjne - agomelatyna|48,60|51,03|60,72|60,72|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|18,22
80|Agomelatinum|Agomelatyna Egis, tabl. powl., 25 mg|28 szt.|05995327174952|2021-09-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|49,63|52,11|61,80|61,55|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|18,72
81|Agomelatinum|Lamegom, tabl. powl., 25 mg|28 szt.|03838989699352|2021-05-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|49,39|51,86|61,55|61,55|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|18,47
82|Agomelatinum|Sedival, tabl. powl., 25 mg|28 szt.|05909991419172|2020-09-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|49,68|52,16|61,85|61,55|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|18,77
83|Agomelatinum|Symago, tabl. powl., 25 mg|28 szt.|05909991391423|2021-07-01|3 lata|225.1, Leki przeciwdepresyjne - agomelatyna|49,39|51,86|61,55|61,55|Leczenie dużych epizodów depresyjnych u dorosłych z widocznymi w obrazie klinicznym objawami zaburzeń snu lub lęku, lub anhedonii||30%|18,47
84|Alergeny kurzu domowego|Novo-Helisen Depot, zawiesina do wstrzykiwań, stężenie: 1 - 50 TU/ml lub 50 PNU/ml; 2 - 500 TU/ml lub 500 PNU/ml; 3 - 5000 TU/ml lub 5000 PNU/ml|3 fiol.po 4,5 ml (stężenia 1-3)|05909990001118|2022-01-01|3 lata|214.1, Alergeny kurzu domowego|357,39|375,26|397,14|397,14|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|19,41
85|Alfuzosini hydrochloridum|Alfuzostad 10 mg, tabl. o przedłużonym uwalnianiu, 10 mg|30 szt.|05909990619580|2022-01-01|3 lata|76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne|17,97|18,87|24,14|24,14|Przerost gruczołu krokowego||ryczałt|4,27
86|Alfuzosini hydrochloridum|Dalfaz SR 5, tabl. powl. o przedłużonym uwalnianiu, 5 mg|20 szt.|05909990812714|2022-01-01|3 lata|76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne|9,13|9,59|11,98|8,21|Przerost gruczołu krokowego||ryczałt|6,97
87|Alfuzosini hydrochloridum|Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg|30 szt.|05909991288457|2020-01-01|3 lata|76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne|12,85|13,49|18,76|18,76|Przerost gruczołu krokowego||ryczałt|4,27
88|Alfuzosini hydrochloridum|Dalfaz Uno, tabl. o przedł. uwalnianiu, 10 mg|30 szt.|05909991392055|2019-11-01|3 lata|76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne|12,91|13,56|18,83|18,83|Przerost gruczołu krokowego||ryczałt|4,27
89|Alfuzosini hydrochloridum|Dalfaz Uno, tabl. o przedłużonym uwalnianiu, 10 mg|30 szt. (blister)|05909990837816|2022-01-01|3 lata|76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne|24,30|25,52|30,79|24,64|Przerost gruczołu krokowego||ryczałt|10,42
90|Alfuzosinum|Alfabax, tabl. o przedłużonym uwalnianiu, 10 mg|30 szt. (3 blist.po 10 szt.)|05909990746576|2019-05-01|3 lata|76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne|18,14|19,05|24,32|24,32|Przerost gruczołu krokowego||ryczałt|4,27
91|Alfuzosinum|Alfurion, tabl. o przedł. uwalnianiu, 10 mg|30 szt.|05909991291945|2017-03-01|5 lat|76.0, Leki stosowane w leczeniu łagodnego przerostu gruczołu krokowego - blokujące receptory alfa-adrenergiczne|13,50|14,18|19,45|19,45|Przerost gruczołu krokowego||ryczałt|4,27
92|Allopurinolum|Allupol, tabl., 100 mg|50 szt.|05909990109418|2022-01-01|3 lata|145.0, Leki stosowane w leczeniu dny|5,67|5,95|8,30|8,30|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
93|Allopurinolum|Allupol, tabletki, 300 mg|30 tabl.|05909991316228|2017-07-01|5 lat|145.0, Leki stosowane w leczeniu dny|10,58|11,11|14,83|14,83|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
94|Allopurinolum|Argadopin, tabl., 100 mg|100 szt.|05907626706529|2021-03-01|3 lata|145.0, Leki stosowane w leczeniu dny|11,02|11,57|15,54|15,54|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
95|Allopurinolum|Argadopin, tabl., 100 mg|50 szt.|05907626706505|2021-03-01|3 lata|145.0, Leki stosowane w leczeniu dny|5,51|5,79|8,14|8,14|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
96|Allopurinolum|Argadopin, tabl., 300 mg|100 szt.|05907626706628|2021-03-01|3 lata|145.0, Leki stosowane w leczeniu dny|33,05|34,70|42,75|42,75|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|8,00
97|Allopurinolum|Argadopin, tabl., 300 mg|30 szt|05907626706604|2021-03-01|3 lata|145.0, Leki stosowane w leczeniu dny|9,91|10,41|14,13|14,13|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
98|Allopurinolum|Milurit, tabl., 100 mg|50 szt.|05909990163212|2022-01-01|3 lata|145.0, Leki stosowane w leczeniu dny|5,88|6,17|8,52|8,52|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
99|Allopurinolum|Milurit, tabl., 300 mg|30 szt.|05909990414819|2022-01-01|3 lata|145.0, Leki stosowane w leczeniu dny|10,69|11,22|14,94|14,94|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|3,20
100|Amantadini hydrochloridum|Viregyt-K, kaps., 100 mg|50 szt.|05909990320912|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|169.0, Leki stosowane w chorobie Parkinsona - amantadyna|14,90|15,65|20,28|20,28|Choroba i zespół Parkinsona|dyskineza późna u osób dorosłych - leczenie|30%|6,08
101|Amiloridi hydrochloridum + Hydrochlorothiazidum|Tialorid, tabl., 5+50 mg|50 tabl.|05909990206025|2022-01-01  - dla kolumny M, <1>2019-03-01/<2>2019-11-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|36.0, Leki moczopędne - tiazydowe i sulfonamidowe|5,59|5,87|8,58|8,58|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>przewlekła choroba nerek u dzieci do 18 roku życia; <2>moczówka nerkopochodna|30%|2,57
102|Amiloridi hydrochloridum + Hydrochlorothiazidum|Tialorid mite, tabl., 2,5+25 mg|50 tabl.|05909990373819|2022-01-01  - dla kolumny M, <1>2019-03-01/<2>2019-11-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|36.0, Leki moczopędne - tiazydowe i sulfonamidowe|5,19|5,45|6,92|5,11|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|<1>przewlekła choroba nerek u dzieci do 18 roku życia; <2>moczówka nerkopochodna|30%|3,34
103|Amiodaroni hydrochloridum|Opacorden, tabl. powl., 200 mg|60 szt.|05909990086818|2022-01-01|3 lata|31.0, Leki przeciwarytmiczne klasy III - amiodaron|17,63|18,51|23,71|23,71|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji||ryczałt|6,40
104|Amisulpridum|Amipryd, tabl., 100 mg|30 szt.|05909991412876|2020-11-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|23,33|24,50|30,69|27,91|Schizofrenia||ryczałt|5,98
105|Amisulpridum|Amipryd, tabl., 200 mg|30 szt.|05909991412883|2020-11-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|46,66|48,99|58,40|55,82|Schizofrenia||ryczałt|5,78
106|Amisulpridum|Amipryd, tabl., 400 mg|30 szt.|05909991412906|2020-11-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|93,31|97,98|111,39|111,39|Schizofrenia||ryczałt|3,20
107|Amisulpridum|Amisan, tabl., 200 mg|30 szt.|05909990762965|2022-01-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|44,01|46,21|55,62|55,62|Schizofrenia||ryczałt|3,20
108|Amisulpridum|Amisan , tabl., 200 mg|60 szt.|05909990762972|2021-09-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|93,64|98,32|111,73|111,63|Schizofrenia||ryczałt|3,30
109|Amisulpridum|Amisan, tabl. powl., 400 mg|30 szt.|05909990762996|2022-01-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|93,53|98,21|111,63|111,63|Schizofrenia||ryczałt|3,20
110|Amisulpridum|Amisan , tabl., 50 mg|60 szt. (5 blist.po 12)|05909990762880|2019-03-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|23,76|24,95|31,13|27,91|Schizofrenia||ryczałt|6,42
111|Amisulpridum|ApoSuprid, tabl., 200 mg|30 szt.|05909991348557|2019-09-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|46,76|49,10|58,51|55,82|Schizofrenia||ryczałt|5,89
112|Amisulpridum|ApoSuprid, tabl. powl., 400 mg|30 szt.|05909991348649|2019-09-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|93,53|98,21|111,63|111,63|Schizofrenia||ryczałt|3,20
113|Amisulpridum|Solian, tabl., 100 mg|30 szt.|05909990840816|2019-03-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|23,76|24,95|31,13|27,91|Schizofrenia||ryczałt|6,42
114|Amisulpridum|Solian, tabl. powl., 200 mg|30 szt.|05909990840915|2022-01-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|47,47|49,84|59,25|55,82|Schizofrenia||ryczałt|6,63
115|Amisulpridum|Solian, tabl., 400 mg|30 szt.|05909991452261|2021-11-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|90,72|95,26|108,67|108,67|Schizofrenia||ryczałt|3,20
116|Amisulpridum|Solian, tabl. powl., 400 mg|30 szt.|05909990841011|2022-01-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|94,93|99,68|113,09|111,63|Schizofrenia||ryczałt|4,66
117|Amisulpridum|Symamis, tabl., 200 mg|30 szt.|05909991410773|2020-03-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|46,71|49,05|58,46|55,82|Schizofrenia||ryczałt|5,84
118|Amisulpridum|Symamis, tabl., 400 mg|30 szt.|05909991410803|2020-03-01|3 lata|178.11, Leki przeciwpsychotyczne - amisulpiryd|93,42|98,09|111,50|111,50|Schizofrenia||ryczałt|3,20
119|Amlodipini besilas|ApoAmlo, tabl., 10 mg|30 szt.|05909991322885|2019-09-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|5,94|6,24|9,79|9,79|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|2,94
120|Amlodipini besilas|ApoAmlo, tabl., 5 mg|30 tabl.|05909991322816|2019-03-01  - dla kolumny M, 2019-03-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|3,02|3,17|5,22|5,22|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|1,57
121|Amlodipinum|Adipine, tabl., 10 mg|30 szt.|05909990642267|2022-01-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|8,53|8,96|12,51|12,51|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|3,75
122|Amlodipinum|Adipine, tabl., 5 mg|30 szt.|05909990642311|2022-01-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|5,08|5,33|7,38|6,90|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|2,55
123|Amlodipinum|Agen 10, tabl., 10 mg|30 szt.|05909991226909|2019-03-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|7,95|8,35|11,90|11,90|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|3,57
124|Amlodipinum|Agen 10, tabl., 10 mg|30 szt.|05909991099022|2022-01-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|9,76|10,25|13,80|13,80|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|4,14
125|Amlodipinum|Agen 10, tabletki, 10 mg|30 tabl.|05909991302184|2017-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N|5 lat - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|7,94|8,34|11,89|11,89|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|3,57
126|Amlodipinum|Agen 10, tabl., 10 mg|60 szt.|05909991226916|2019-03-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|15,90|16,70|22,27|22,27|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|6,68
127|Amlodipinum|Agen 10, tabl., 10 mg|60 szt.|05909991436636|2021-05-01  - dla kolumny M, 2021-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|16,42|17,24|22,81|22,81|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|6,84
128|Amlodipinum|Agen 10, tabl., 10 mg|60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.)|05909991067540|2019-07-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|17,06|17,91|23,48|23,48|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|7,04
129|Amlodipinum|Agen 5, tabl., 5 mg|30 szt.|05909991098926|2022-01-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|4,90|5,15|7,19|6,90|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|2,36
130|Amlodipinum|Agen 5, tabletki, 5 mg|30 tabl.|05909991295226|2017-09-01  - dla kolumny M, 2020-09-01  - dla kolumny N|5 lat - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|4,29|4,50|6,54|6,54|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|1,96
131|Amlodipinum|Agen 5, tabl., 5 mg|60 szt.|05909991436759|2021-05-01  - dla kolumny M, 2021-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|8,21|8,62|12,17|12,17|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|3,65
132|Amlodipinum|Agen 5, tabl., 5 mg|60 szt.|05909991295233|2017-11-01  - dla kolumny M, 2020-11-01  - dla kolumny N|5 lat - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|8,53|8,96|12,51|12,51|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|3,75
133|Amlodipinum|Agen 5, tabl., 5 mg|60 szt. (6 blist.po 10 szt. lub 4 blist.po 15 szt.)|05909991067533|2019-07-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|8,53|8,96|12,51|12,51|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|3,75
134|Amlodipinum|Aldan, tabl., 10 mg|30 szt. (3 blist.po 10 szt.)|05909991008734|2022-01-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|10,69|11,22|14,77|13,80|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|5,11
135|Amlodipinum|Aldan, tabl., 5 mg|30 szt. (3 blist.po 10 szt.)|05909991008635|2022-01-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|5,51|5,79|7,83|6,90|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|3,00
136|Amlodipinum|Alneta, tabl., 10 mg|30 szt.|05909991068073|2019-03-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|10,69|11,22|14,77|13,80|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|5,11
137|Amlodipinum|Alneta, tabl., 10 mg|60 szt.|05909991068097|2021-05-01  - dla kolumny M, 2019-05-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|41.0, Antagoniści wapnia - pochodne dihydropirydyny|19,96|20,96|26,53|26,53|We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji|objaw Raynauda związany z twardziną układową - leczenie pierwszoliniowe|30%|7,96
